instance,average,minimal
AfricaSul11e,415.4,402
Angola12e,512.8,508
Arabia14e,710.4,594
Argelia15e,627.2,605
Argentina16e,796.8,771
Australia16e,845.8,773
Bolivia10e,394.0,384
Brasil16e,753.7,722
BrasilAM26e,404.8,373
BrasilMG30e,409.6,400
BrasilPR25e,412.1,392
BrasilRJ14e,238.5,233
BrasilRN16e,312.4,308
Canada17e,1024.3,879
Cazaquistao15e,772.1,653
Chade12e,698.0,672
China17e,806.4,764
Colombia11e,468.2,438
Congo15e,668.9,651
EUA17e,685.0,675
Etiopia10e,296.8,283
India16e,957.2,876
Indonesia14e,610.6,559
Ira13e,701.5,596
Libia14e,614.7,592
Mali11e,486.5,440
Mauritania10e,441.0,441
Mexico14e,581.2,523
Mongolia13e,621.8,581
Niger12e,640.2,582
Peru13e,607.3,575
Russia17e,963.6,916
Sudao15e,652.2,604
att48Ae,27024.3,26965
